name,ra,dec,gal_l,gal_b,W1mag,W2mag,Gmag,BPmag,RPmag,log(fx),P_QSO,z_phot
2CXO J000021.5+171615,0.0898301358864728,17.27091100494131,105.897454,-43.904861,14.559,13.147,17.76817712474489,17.974994175724984,17.303833642752647,-13.026702519641105,1.0,1.6543421894185801
2CXO J000026.2+134604,0.109505686508271,13.767965138594292,104.515741,-47.271931,15.345,14.267,18.98682433093071,19.06085500196552,18.752335629669663,-12.90337130836301,0.951219512195122,0.7775292753412633
2CXO J000057.9+130646,0.2416787981867969,13.112925250130656,104.416643,-47.936114,15.58,14.422,18.933680100524903,19.019750600307464,18.531227331564903,-13.550995662888317,1.0,1.7615931720268037
2CXO J000107.8-245855,0.2829485092795494,-24.98233683888446,40.871735,-78.505062,16.943,15.732,20.347937885211945,20.31559035526681,19.881002399483084,-13.682026089273652,0.951219512195122,1.2003939254962384
2CXO J000256.2-260957,0.7348837482484782,-26.1658549108413,35.260898,-79.12484,17.48,16.434,20.614611232407928,20.41912796080089,20.009057549699307,-13.700507245913895,0.8536585365853658,1.8194069316502746
2CXO J000306.0+160704,0.7752074357915149,16.11793420278903,106.350037,-45.191835,16.597,15.531,20.04284618481636,20.346232789203643,19.430508855054857,-14.441369356196404,1.0,1.9919930588198786
2CXO J000320.5+161343,0.83573176116181,16.228670372796156,106.470915,-45.100331,17.213,16.545,20.482839812673568,20.233436606871607,19.93008959521532,-14.259666125844824,1.0,2.535754272022937
2CXO J000402.2-255826,1.0102054302451506,-25.973999545472303,36.468599,-79.341813,16.572,15.474,20.56961914344597,20.773301035882948,19.929362805974485,-9999.0,0.951219512195122,1.6315614816536574
2CXO J000603.9-275841,1.5162630518049127,-27.978231143581517,25.486227,-79.911138,16.312,15.308,20.335614313899516,20.329628160004617,19.84062850092113,-13.711589294647709,0.8780487804878049,1.4527294774706274
2CXO J000846.5-103605,2.194136233165011,-10.601648288867697,89.611174,-70.66097,16.355,15.114,19.726898623959546,20.038776257952453,19.39041522220075,-13.242429249133364,0.926829268292683,1.3694440314920624
2CXO J000847.8+192315,2.1994687746421846,19.387672440345575,109.275078,-42.350536,16.735,15.792,20.05787149374771,19.708453825653077,18.81300389638424,-14.444502269916066,0.8536585365853658,2.0604154097710947
2CXO J000855.3-103948,2.2306726384003923,-10.663514662175114,89.612315,-70.732502,16.388,15.393,20.686515196545123,20.42399939799404,20.284606302797915,-13.369817978987072,0.951219512195122,0.9179795776522119
2CXO J000859.1+192341,2.2463542184785865,19.3947478351038,109.335553,-42.353469,16.272,15.508,20.574697761182787,20.472901718681335,19.746680109106062,-13.676988120116555,0.975609756097561,0.890650774681552
2CXO J000900.3-103421,2.251270316471107,-10.572773962929029,89.801693,-70.663761,17.249,16.098,20.21713422992468,20.306829211895465,19.874725044688105,-13.787194289549454,0.8780487804878049,1.8529622659780662
2CXO J000906.1-102421,2.275433692900833,-10.405917092186945,90.111365,-70.530261,14.784,13.626,19.03594693118071,19.677628748910905,18.297919288833857,-13.018743804207224,0.951219512195122,1.4478939562010167
2CXO J000935.7-321854,2.398824897886186,-32.31521482467222,0.68267,-79.547035,16.432,16.016,19.643119557562112,20.044835101187463,19.09284706827068,-14.193771527903237,0.8048780487804879,2.973210368897303
2CXO J001020.9+125002,2.587504074877586,12.833947555766008,107.622934,-48.81265,15.376,14.428,20.33177391124916,20.49296517655754,19.49696402112293,-13.252862488744364,0.926829268292683,1.1121810454625296
2CXO J001058.6-120045,2.744438896230577,-12.012612478834276,88.844383,-72.151712,16.011,14.951,20.162267872689725,20.542483152645826,19.808070026918887,-13.392297111006606,1.0,1.0375054416834664
2CXO J001109.7-152511,2.7905554184530956,-15.419768931621585,82.263254,-75.011716,16.551,15.717,20.60424630734539,20.72081402813673,20.09944445035637,-13.44488949849585,0.951219512195122,1.6156582520200646
2CXO J001111.8-121054,2.799529225398942,-12.1816536524331,88.713013,-72.324543,16.839,15.371,20.082570823581456,20.235576817183972,19.64188745535624,-13.875374815687836,0.902439024390244,1.795408011403888
2CXO J001115.1-152412,2.813104491911929,-15.403408119441863,82.368455,-75.011703,16.446,15.336,20.3115130527432,20.56624614395404,19.7308502399832,-13.2660321154637,0.975609756097561,1.423382474001984
2CXO J001123.2-121346,2.8466403945458865,-12.22946792530748,88.762807,-72.389186,14.588,13.353,18.705689366807466,18.84066986666489,18.324561849596144,-13.406799560433667,1.0,1.1807407526067952
2CXO J001125.6-152319,2.8567902547327435,-15.388988971805382,82.532312,-75.025401,15.063,14.072,19.65759573845935,19.960437940095183,19.440466106507422,-13.005921518812816,0.951219512195122,0.9221514594115672
2CXO J001144.7-153224,2.936539532336326,-15.540174426828685,82.41927,-75.192497,15.606,14.464,19.386120072357414,19.404776003047463,19.125357232773304,-13.065301730524792,0.8780487804878049,1.093790669609854
2CXO J001203.0+523906,3.012892962919466,52.65160752441991,116.889302,-9.757426,16.557,15.402,19.602453702285768,19.612980022232055,19.381513943481444,-13.923560503118708,0.7560975609756098,1.996282016046419
2CXO J001210.0+502830,3.0419186151115127,50.47504299135192,116.56451,-11.910565,14.84,13.684,19.337798002536772,19.31215608889389,18.976795797058102,-13.197071926788203,0.8780487804878049,0.8497421364713602
2CXO J001214.2+523009,3.059671026906244,52.50264080945077,116.894509,-9.908994,16.086,15.123,19.767429024627685,20.180803752246856,19.34961147417069,-14.233060520771598,0.7560975609756098,1.6046823495446565
2CXO J001221.0-271146,3.0876384214664085,-27.19608940773828,30.251186,-81.307753,15.474,14.261,19.709351608380317,20.17086571663332,18.96752218769324,-13.844144636440141,0.902439024390244,1.9021977000382275
2CXO J001221.8+523520,3.0911709878439524,52.589076023010094,116.92719,-9.826524,15.856,14.994,19.90854967503357,19.67725905924225,19.676152904403686,-13.383887841760192,0.8048780487804879,1.0013644868685818
2CXO J001315.5-271115,3.315027093641447,-27.187642254011507,30.349893,-81.50965,16.074,14.994,20.029345820952653,20.411694080557584,19.46016306054604,-9999.0,0.902439024390244,1.7131953420798842
2CXO J001321.9-192750,3.3415312567829005,-19.464153061381392,72.19643,-78.382968,17.661,16.753,20.59576815149009,20.812239721965312,20.390696249242666,-13.863001610789937,0.975609756097561,1.97839360914825
2CXO J001339.1-302414,3.4130921264790004,-30.40390900068823,9.118346,-81.09904,15.551,14.668,20.031035943929552,19.92756153035879,19.27026103325248,-13.799135013684651,0.8048780487804879,0.6591857070724868
2CXO J001344.0-230618,3.4336859446840435,-23.10509777728534,56.111139,-80.568944,16.206,15.025,19.638447905281783,19.858588138777733,19.23833435989356,-13.189758463128587,0.975609756097561,1.7053245957139256
2CXO J001350.1+792651,3.4591159297144713,79.44756870017032,121.142271,16.706708,15.841,14.945,18.715571639181135,18.85805102806473,18.31123828386116,-13.349971418891993,0.7073170731707317,1.6590646323774842
2CXO J001351.5-302500,3.4646978873751095,-30.416697813300104,8.94466,-81.136792,15.79,14.876,20.678121637179732,21.390776066120864,20.249386104233324,-12.807463826615084,0.902439024390244,1.286192043446397
2CXO J001356.1-231601,3.484040964274584,-23.26694833587109,55.352376,-80.68325,16.336,15.22,19.78093047696352,19.91620141288519,19.4943494925648,-13.555306423869096,0.8536585365853658,1.3101245424887011
2CXO J001401.2-301223,3.505097860575802,-30.206570121084464,10.168989,-81.23773,16.167,15.493,20.64445228247881,20.643072421382666,19.759828878901303,-13.662303218960117,0.951219512195122,0.9111024445168746
2CXO J001426.5-302344,3.6106432802188806,-30.39562556302459,8.798935,-81.262453,15.376,14.555,20.147860882866382,19.619862467506767,18.753607425940512,-9999.0,0.7073170731707317,1.0320262998318537
2CXO J001435.0-301838,3.645905780600344,-30.310750360541437,9.260541,-81.319413,17.171,16.083,19.849052183280943,19.884825404442548,19.483415070906045,-13.598408600675945,0.6097560975609756,2.3933975349269314
2CXO J001437.4+085111,3.655997386472848,8.853207439377728,107.7333,-52.928744,16.832,16.758,20.28013931604576,20.11792079545021,19.358339241888046,-13.808630898096801,0.6585365853658537,3.4962152176586443
2CXO J001439.2-301543,3.663573566497746,-30.26224769226419,9.531591,-81.349705,15.965,15.175,20.60560105128944,20.486752642562745,20.036318049785255,-9999.0,0.926829268292683,1.140537384337633
2CXO J001459.7-302109,3.749084903904645,-30.352626999298796,8.800275,-81.389396,16.009,14.982,20.44134624610376,20.95069265853095,19.86657661403501,-13.621984096680498,0.8780487804878049,1.4712451796942525
2CXO J001500.1-273243,3.750415278230207,-27.54540458328075,27.891962,-81.899299,16.718,16.113,20.06872835717058,20.478248436923028,19.625235864523052,-14.059624523966455,0.7073170731707317,3.574415704735911
2CXO J001511.9-272858,3.7998267657984,-27.48296405833459,28.33276,-81.94382,17.177,16.374,20.230070105870485,20.515129699405193,19.893879191851617,-14.16588066128216,0.6097560975609756,1.927228259615658
2CXO J001643.1-270632,4.179809349322795,-27.10903873994164,31.092885,-82.276046,15.954,15.034,19.084650800147056,19.401534997634172,18.67000214025569,-13.214121690093936,0.8536585365853658,1.9101564015209511
2CXO J001643.4-270051,4.180906553372438,-27.01417762416464,31.798214,-82.27293,17.38,16.88,20.57331495373702,20.485717032277822,20.27883541681862,-14.158694986882152,0.7317073170731707,2.810368525399233
2CXO J001648.1-270224,4.200727549475744,-27.040169939202556,31.611131,-82.291802,16.245,15.219,19.990428348912715,20.218046890889884,19.63278866496718,-13.826338413709756,0.8780487804878049,1.6962298010760248
2CXO J001717.4+791515,4.3227964911608865,79.2543649526526,121.27787,16.492438,16.004,14.805,20.048055979400633,20.187743623275757,19.657723398025514,-13.578067528946336,0.5609756097560976,1.688657263640546
