name,ra,dec,gal_l,gal_b,W1mag,W2mag,Gmag,BPmag,RPmag,log(fx),P_QSO,z_phot
2CXO J153634.7-494316,234.144612,-49.7213604,328.278913,4.846592,14.647,14.07,19.36965795,19.00715615,18.05727955,-12.93636513,0.756097561,0.7682992767009729
2CXO J153653.0-505901,234.2207725,-50.98371475,327.572184,3.798124,14.473,13.599,17.91693507,18.09200353,17.71644801,-13.06457599,0.658536585,1.7022543678631243
2CXO J154655.1-375051,236.7294717,-37.84765434,337.118791,13.112567,15.425,14.778,19.58762941,19.93142379,19.16327228,-14.17432011,0.609756098,1.7382141547831713
2CXO J154700.7-375902,236.7530746,-37.98407166,337.044902,12.995199,15.465,14.214,19.08831857,19.32885331,18.71791468,-13.27912769,0.682926829,1.5447738470996706
2CXO J154754.4-375644,236.9767863,-37.94573046,337.209753,12.912937,16.29,14.865,19.29000647,19.40152833,18.90146575,-14.01804435,0.707317073,1.751253881727537
2CXO J154831.5-780837,237.1314624,-78.14385515,311.624415,-18.380576,17.034,16.17,20.57164604,20.54695097,20.2027464,-13.85514827,0.756097561,1.655888656209386
2CXO J154850.1-780543,237.2090351,-78.09552673,311.670487,-18.354522,15.104,13.854,19.30399963,19.76005385,18.74803313,-13.2334615,0.902439024,1.4060839370908713
2CXO J154932.5-780902,237.385529,-78.15079112,311.661116,-18.420054,15.387,14.446,19.65318721,19.60482167,18.94729716,-12.73681245,0.902439024,0.5952843295482956
2CXO J155203.5-442047,238.0148224,-44.34662526,333.687956,7.474572,15.538,14.76,19.31098037,19.53574162,18.91671979,-13.24648033,0.756097561,1.3607418248186625
2CXO J160157.4-753929,240.4893575,-75.65834275,313.967467,-17.05001,15.956,15.054,20.46722294,20.25587501,19.99369883,-13.64509642,1.0,0.8008710490675868
2CXO J160322.5-755136,240.8436874,-75.8602904,313.88764,-17.256316,15.872,14.704,20.21471495,20.39400071,19.79765998,-12.89923776,0.975609756,1.7876917352767423
2CXO J160623.7-275046,241.5991133,-27.84616345,347.211451,17.816988,15.412,14.182,20.1102861,20.34705097,19.73344076,-9999.0,0.756097561,1.520948134019525
2CXO J160923.7-320834,242.3488134,-32.14287003,344.56218,14.29509,14.165,12.914,18.15811731,18.44308845,17.56489354,-13.00183197,0.804878049,1.3900733567537693
2CXO J160959.8-320545,242.4992394,-32.09593409,344.690043,14.239607,14.894,14.168,18.81880348,18.99520607,18.33942805,-13.03209628,0.682926829,1.412368393873391
2CXO J161143.2-354150,242.9304157,-35.69740111,342.375236,11.410214,16.414,15.519,19.63951958,19.86646738,19.38378468,-13.77496247,0.634146341,1.8977034897018676
2CXO J161229.4-584332,243.1226686,-58.72586408,326.572471,-5.415224,14.708,14.133,19.25497435,18.99677665,18.39721719,-12.88350566,0.756097561,0.7106702580022444
2CXO J161419.1-281019,243.5798948,-28.17194498,348.256978,16.345412,15.855,14.639,18.85711213,18.96701812,18.47728741,-13.53266398,0.56097561,1.5111683310219843
2CXO J161646.9-225739,244.195469,-22.96087434,352.642531,19.517145,14.682,13.424,19.3086069,19.68117109,18.78846141,-13.17065943,0.804878049,1.4162887147465577
2CXO J161704.4-225117,244.2683237,-22.85493952,352.773521,19.539156,15.408,14.055,19.10045751,19.18558475,18.76604744,-13.92986975,0.585365854,1.4436518647844274
2CXO J163156.2-745644,247.9844454,-74.94562219,315.875282,-17.948304,15.723,15.02,20.67695427,20.44685615,19.81908168,-13.67351486,0.951219512,0.8958529022342604
2CXO J163310.9-745955,248.2963532,-74.99919019,315.886301,-18.044741,14.391,13.421,19.11868497,19.1087734,18.6003783,-12.75971206,0.975609756,0.5488391491026552
2CXO J163613.3-681726,249.0558935,-68.29065586,321.39299,-13.915429,15.944,15.383,20.44120447,20.16885986,19.45576935,-13.14603324,0.682926829,1.030125644788378
2CXO J163805.5-682654,249.5232459,-68.44854869,321.383089,-14.148915,16.486,15.667,20.23838537,20.48886608,19.97366582,-14.00446295,0.87804878,1.7338633187336214
2CXO J163814.5-682321,249.5607817,-68.38922123,321.439146,-14.121432,16.276,15.099,19.6297519,19.6680954,19.36155333,-13.18157029,0.87804878,1.4413326789829048
2CXO J163929.2-682801,249.8719814,-68.46719176,321.452822,-14.259254,17.043,16.157,20.11915575,20.44688571,19.91716476,-13.82201638,0.87804878,1.7138777068191913
2CXO J164026.7-682926,250.1115382,-68.49069405,321.491819,-14.342002,14.042,12.924,19.96192835,20.86216389,18.87985897,-13.16558674,0.87804878,2.8949340407971578
2CXO J165724.8-601442,254.353988,-60.24517855,329.277964,-10.665285,14.964,13.721,19.98806672,20.48171456,19.18876361,-13.24014035,0.609756098,1.75373222195351
2CXO J165835.3-601408,254.6474015,-60.23556955,329.375266,-10.775571,14.643,13.368,17.98073279,18.16422494,17.53545014,-13.06180118,0.780487805,1.4470135526286654
2CXO J165844.4-601209,254.6855977,-60.20262956,329.413666,-10.770888,16.609,16.264,20.03431149,20.12273358,19.57449126,-14.15671281,0.682926829,2.3462941605536893
2CXO J165848.3-600622,254.7012409,-60.10639334,329.496661,-10.719185,15.764,15.101,19.73415962,,,-13.89514945,0.609756098,1.8101598381606516
2CXO J165909.5-532026,254.7898832,-53.34079082,334.963878,-6.647305,14.301,13.356,17.64497089,17.79753149,17.10951093,-12.6924311,0.829268293,1.364088691005437
2CXO J165917.2-601517,254.8219167,-60.25492305,329.412533,-10.856416,15.276,14.237,19.35074321,19.38364344,18.83415636,-13.40478431,0.707317073,1.2568637118264854
2CXO J165935.5-523547,254.8979468,-52.59652562,335.596208,-6.243121,16.515,15.579,19.58745697,19.81630151,19.65427331,-13.43934696,0.682926829,1.4527980175161233
2CXO J170259.5-485931,255.7482681,-48.99200361,338.795022,-4.471514,14.717,13.821,18.21188039,18.29933202,18.15943116,-12.87939108,0.512195122,1.338945910219112
2CXO J170542.6-095552,256.4275207,-9.931234561,11.096507,18.154868,14.652,13.705,19.43627772,19.16009711,18.81111059,-13.00408128,0.682926829,0.7637595738383081
2CXO J170630.8-100330,256.6284036,-10.05848822,11.097493,17.919642,13.216,12.054,18.1765658,18.45953733,17.34935959,-12.8680607,0.780487805,1.3084376610738833
2CXO J170813.7-251553,257.057104,-25.26487835,358.442985,8.958137,15.299,13.877,18.62207183,18.65440994,17.98581137,-12.61758799,0.731707317,1.3054889275139714
2CXO J171110.5-604443,257.793868,-60.74549715,329.876004,-12.331452,15.75,14.703,19.88021781,20.25741539,19.3655256,-13.92546891,0.87804878,1.5581173498123555
2CXO J171211.3-232705,258.0471117,-23.45148344,0.469001,9.274363,14.275,13.695,18.21884394,,,-13.13334658,0.512195122,1.343227175672054
2CXO J171536.0-624820,258.900379,-62.80526933,328.415739,-13.910638,16.735,15.488,20.57570208,20.77137014,20.44846221,-13.70896304,0.682926829,1.4962632080812812
2CXO J171631.3-625119,259.1305845,-62.85542049,328.431357,-14.026117,15.856,14.751,20.0339834,20.14324745,19.46332293,-13.41633881,0.902439024,1.4372844808027962
2CXO J171802.4-624914,259.509941,-62.8209651,328.557777,-14.153171,17.176,15.802,20.37559957,20.58548416,19.93437719,-13.67692019,0.926829268,1.715475161728429
2CXO J171857.4-624742,259.7397468,-62.7957299,328.637907,-14.228203,15.266,14.099,19.13949937,19.60184192,18.41816114,-13.58643694,0.87804878,1.636389868156637
2CXO J171858.6-183012,259.7445185,-18.50360491,5.526028,10.755247,13.913,13.221,19.30414067,19.12553887,18.38474683,-12.62812622,0.87804878,0.48682886218096433
2CXO J172028.9-005655,260.1206667,-0.948562854,21.232326,19.658427,16.872,15.652,19.43155003,19.53817412,19.12523686,-13.36339729,0.682926829,1.8892833841983832
2CXO J172225.6-001855,260.6068791,-0.315547834,22.070686,19.542975,13.785,12.402,17.01983945,17.1276765,16.68524002,-13.10713563,0.756097561,1.4265571936636616
2CXO J172305.9-650723,260.7748195,-65.12331977,326.834542,-15.837764,17.016,16.1,20.52111966,20.77555265,20.1628196,-13.94821135,0.951219512,1.8045168265026035
2CXO J172330.0-645937,260.8751958,-64.99366328,326.972734,-15.807347,16.144,15.413,19.38988786,19.4905075,19.08012731,-13.71066931,0.853658537,2.2361739377695886
2CXO J172421.1-645945,261.0880075,-64.99605356,327.01855,-15.885801,16.003,15.398,20.58397933,20.77581385,20.13680541,-14.30742571,0.926829268,1.5473217426910193
2CXO J172739.4-141653,261.9141761,-14.28146576,10.290213,11.293392,15.102,13.551,18.30975225,18.54916252,17.84995839,-13.29125438,0.634146341,1.8646031143424238
2CXO J172806.7-140924,262.0280213,-14.15673188,10.457719,11.265957,15.177,14.354,19.10171387,19.27700455,18.68526931,-12.85577462,0.756097561,1.019831690250304
2CXO J173111.0-670708,262.7961123,-67.11912746,325.453502,-17.541225,16.937,16.604,20.60271874,20.74418529,20.32654644,-14.52707454,0.780487805,2.589649541205022
2CXO J173224.2-670514,263.1010243,-67.08736269,325.542364,-17.630147,15.298,15.029,20.44741258,,,-14.23694909,0.56097561,2.060509619048757
2CXO J173650.4-595913,264.2102142,-59.98708212,332.259458,-14.624846,16.307,15.58,20.33946124,20.78028842,19.89745755,-13.70361809,0.902439024,1.850862053393064
2CXO J173656.7-563052,264.2365161,-56.51457168,335.371199,-12.914557,15.464,14.346,19.83094751,19.87124797,19.5334009,-14.24993217,0.609756098,1.320781037157674
2CXO J173702.7-562905,264.261624,-56.48495859,335.404615,-12.911707,15.517,14.273,19.11408301,19.44983311,18.72555553,-14.16364928,0.780487805,1.53654096882419
2CXO J173711.8-563528,264.2993477,-56.59139509,335.320765,-12.983006,16.55,15.688,20.20569296,20.71471229,19.75970979,-13.73018705,0.902439024,1.8022127758582211
2CXO J173713.8-030920,264.307856,-3.155798809,21.358564,14.929234,16.273,14.975,19.22577454,19.13013842,18.82181889,-13.76900993,0.756097561,1.7769781731048266
2CXO J173759.3-595353,264.4974192,-59.89807098,332.41241,-14.706832,15.956,15.053,19.67794151,19.60966407,18.83231523,-13.03241546,0.829268293,1.3786397682938343
2CXO J173815.7-562444,264.5658943,-56.41249456,335.555221,-13.021207,16.537,15.62,20.20871568,20.48281668,19.78653502,-13.87801073,0.707317073,1.663005542523423
